nombre,temporada,club,entrenador,edad,posicion_normalizada,tipo_suceso,tipo_operacion,origen_desarrollo,partidos,minutos,goles,xg,goles_por_90,xg_por_90,valor_mercado,valor_llegada,valor_salida,revalorizacion_absoluta,revalorizacion_porcentual,revalorizacion_positiva,tiene_wyscout,club_pos_jugadores_sub23,club_pos_minutos_sub23,club_pos_goles_sub23,club_pos_xg_sub23,club_pos_pct_minutos,club_total_jugadores_sub23,club_total_minutos_sub23,club_total_goles_sub23,coach_total_jugadores_sub23,coach_total_minutos_sub23,coach_pos_minutos_sub23,demand_total_altas,demand_cesiones,demand_traspasos,demand_sub23,demand_recent,demand_score
Josep Señé,2021-22,CD Lugo,Rubén de la Barrera,29.0,Mediapunta,libre,libre,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,1,0,0,0,0,8.7
Juan Antonio Ros,2021-22,CD Lugo,Rubén de la Barrera,25.0,Central,libre,libre,Cantera / Filial,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,200000.0,300000.0,100000.0,50.0,1,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,7,0,0,0,0,25.18
Pablo Clavería,2021-22,CD Lugo,Rubén de la Barrera,25.0,Centrocampista,libre,libre,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,5,1,0,1,0,26.98
Pol García,2021-22,CD Lugo,Rubén de la Barrera,27.0,Central,otro,otro,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,800000.0,800000.0,400000.0,-400000.0,-50.0,0,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,7,0,0,0,0,25.18
Ricard Sánchez,2021-22,CD Lugo,Rubén de la Barrera,21.0,Lateral,cesion,cesion,Primera Division,0.0,0.0,0.0,0.0,0.0,0.0,1500000.0,1500000.0,600000.0,-900000.0,-60.0,0,False,1.0,147.0,0.0,0.01,100.0,1.0,147.0,0.0,0.0,0.0,0.0,5,1,0,3,1,39.59
Álex Pérez,2021-22,CD Lugo,Rubén de la Barrera,30.0,Central,libre,libre,Otra categoria España,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,7,0,0,0,0,25.18
Óscar Whalley,2021-22,CD Lugo,Rubén de la Barrera,27.0,Portero,libre,libre,Segunda Division,0.0,0.0,0.0,0.0,0.0,0.0,400000.0,,,,,0,False,0.0,0.0,0.0,0.0,0.0,1.0,147.0,0.0,0.0,0.0,0.0,2,0,0,1,0,13.02
Alejandro Marqués,2021-22,CD Mirandés,Alessio Lisci,21.0,Delantero,cesion,cesion,Extranjero,0.0,0.0,0.0,0.0,0.0,0.0,500000.0,500000.0,800000.0,300000.0,60.0,1,False,5.0,3362.0,10.0,10.73,10.21,23.0,32942.0,28.0,1.0,21.0,0.0,24,19,0,16,13,97.95
Anderson Arroyo,2021-22,CD Mirandés,Alessio Lisci,21.0,Lateral,cesion,cesion,Sin club anterior,0.0,0.0,0.0,0.0,0.0,0.0,150000.0,150000.0,800000.0,650000.0,433.33,1,False,3.0,5648.0,0.0,3.18,17.15,23.0,32942.0,28.0,1.0,21.0,0.0,22,18,1,19,8,96.78
César Gelabert,2021-22,CD Mirandés,Alessio Lisci,20.0,Mediapunta,libre,libre,Cantera / Filial,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,700000.0,700000.0,0.0,0.0,0,False,0.0,0.0,0.0,0.0,0.0,23.0,32942.0,28.0,1.0,21.0,0.0,7,4,0,6,3,65.41
