temporada,categoria,jugador,equipo,posicion_wyscout,posicion_primaria,posicion_normalizada,edad,pais_nacimiento,pasaporte,pie,altura,peso,valor_mercado,vencimiento_contrato,partidos_jugados,minutos_jugados,goles,xg,cesion,_match_key
2023-24,med,Alberto Del Moral,Córdoba CF,RCMF,RCMF,Centrocampista,25.0,Spain,Spain,derecho,185,78,800000,2027-06-30,21,1910,1,1.93,True,alberto del moral|cordoba cf|2023-24
2025-26,med,Marco Sangalli,Racing Santander,"RB, LAMF, LW",RB,Lateral,34.0,Spain,"Spain, Italy",derecho,179,66,400000,2026-06-30,36,1909,4,2.39,False,marco sangalli|racing santander|2025-26
2024-25,med,Sergio Moyita,Real Murcia,"LCMF, RCMF",LCMF,Centrocampista,33.0,Spain,Spain,derecho,174,64,200000,2026-06-30,29,1907,2,2.26,False,sergio moyita|real murcia|2024-25
2025-26,med,A. Mabil,CD Castellón,"RW, RAMF, RWB",RW,Extremo,30.0,South Sudan,"South Sudan, Australia",derecho,178,75,1000000,2028-06-30,30,1906,2,4.79,False,a mabil|cd castellon|2025-26
2021-22,med,L. Robertone,Vélez Sarsfield,"RCMF, AMF, LCMF",RCMF,Centrocampista,29.0,Argentina,"Argentina, Italy",derecho,169,66,0,2028-06-30,26,1905,4,2.49,True,l robertone|velez sarsfield|2021-22
2021-22,att,Sergio León,,CF,CF,Delantero,37.0,Spain,Spain,derecho,176,73,800000,,32,1904,7,6.65,False,sergio leon||2021-22
2023-24,med,Erik Morán,SD Ponferradina,"RCMF, LCMF, RDMF",RCMF,Centrocampista,34.0,Spain,Spain,derecho,186,75,300000,2026-06-30,32,1903,0,0.31,False,erik moran|sd ponferradina|2023-24
2024-25,def,Alex Pozo,Jagiellonia Białystok,"RB, RAMF",RB,Lateral,27.0,Spain,Spain,derecho,173,64,2000000,2027-06-30,32,1903,2,1.0,True,alex pozo|jagiellonia biaystok|2024-25
2021-22,med,Sergio Tejera,Racing Ferrol,"LDMF, RDMF, LCMF",LDMF,Mediocentro,35.0,Spain,Spain,izquierdo,180,75,400000,2026-06-30,32,1902,0,0.77,False,sergio tejera|racing ferrol|2021-22
2022-23,att,Juanma García,Algeciras,"RW, RWF, LW",RW,Extremo,32.0,Spain,Spain,derecho,168,64,700000,2028-06-30,31,1901,4,3.11,False,juanma garcia|algeciras|2022-23
2022-23,med,Àlex Corredera,Sporting Gijón,"RCMF, LCMF, RW",RCMF,Centrocampista,30.0,Spain,Spain,izquierdo,178,72,1000000,2028-06-30,25,1901,0,1.16,False,alex corredera|sporting gijon|2022-23
2023-24,def,J. Babin,Real Avilés,"LCB, RCB, CB",LCB,Central,39.0,France,"France, Martinique",derecho,182,84,200000,2026-06-30,24,1899,0,0.22,False,j babin|real aviles|2023-24
2024-25,med,Fran Manzanara,Debrecen,"RCMF, RDMF, DMF",RCMF,Centrocampista,29.0,Spain,Spain,derecho,182,72,0,,23,1898,0,0.58,False,fran manzanara|debrecen|2024-25
2023-24,att,Álex Bernal,Recreativo Huelva,"CF, RCMF, AMF",CF,Delantero,34.0,Spain,Spain,derecho,175,64,100000,2026-06-30,34,1897,0,1.21,False,alex bernal|recreativo huelva|2023-24
2023-24,med,Hugo Vallejo,Piast Gliwice,LW,LW,Extremo,26.0,Spain,Spain,derecho,186,80,500000,2028-06-30,34,1895,2,2.53,False,hugo vallejo|piast gliwice|2023-24
2024-25,med,Mario Climent,Cádiz CF,"LB, LWB",LB,Lateral,24.0,Spain,Spain,izquierdo,179,67,100000,2028-06-30,21,1895,3,0.62,False,mario climent|cadiz cf|2024-25
